,r_pick1,r_pick2,r_pick3,r_pick4,r_pick5,d_pick5,d_pick4,d_pick3,d_pick2,d_pick1,r_ban7,r_ban6,r_ban5,r_ban4,r_ban3,r_ban2,r_ban1,d_ban7,d_ban6,d_ban5,d_ban4,d_ban3,d_ban2,d_ban1,match,tournament
12,Snapfire,Faceless Void,Silencer,Tiny,Doom,Pangolier,Terrorblade,Undying,Timbersaw,Rubick,Tidehunter,Lycan,Morphling,Templar Assassin,Naga Siren,Primal Beast,Shadow Demon,Phoenix,Dark Seer,Skywrath Mage,Elder Titan,Enigma,Batrider,Storm Spirit,Quest Esports vs Talon Esports,Riyadh Masters 2023 
13,Undying,Rubick,Ember Spirit,Monkey King,Visage,Slark,Skywrath Mage,Lion,Pangolier,Broodmother,Faceless Void,Beastmaster,Dark Seer,Batrider,Enchantress,Timbersaw,Io,Enigma,Lycan,Templar Assassin,Primal Beast,Bloodseeker,Storm Spirit,Snapfire,Team Liquid vs Gaimin Gladiators,Riyadh Masters 2023 
14,Undying,Techies,Pangolier,Morphling,Razor,Monkey King,Spirit Breaker,Templar Assassin,Dark Seer,Rubick,Terrorblade,Drow Ranger,Primal Beast,Storm Spirit,Juggernaut,Snapfire,Io,Beastmaster,Meepo,Faceless Void,Ember Spirit,Bloodseeker,Broodmother,Timbersaw,Team Liquid vs Gaimin Gladiators,Riyadh Masters 2023 
15,Rubick,Monkey King,Legion Commander,Skywrath Mage,Templar Assassin,Oracle,Storm Spirit,Keeper of the Light,Terrorblade,Timbersaw,Chen,Enchantress,Beastmaster,Lion,Batrider,Broodmother,Io,Lone Druid,Puck,Primal Beast,Underlord,Dark Seer,Undying,Snapfire,Team Liquid vs Gaimin Gladiators,Riyadh Masters 2023 
16,Silencer,Storm Spirit,Spirit Breaker,Faceless Void,Winter Wyvern,Luna,Visage,Clockwerk,Leshrac,Io,Templar Assassin,Sven,Legion Commander,Dark Seer,Monkey King,Lycan,Snapfire,Underlord,Broodmother,Naga Siren,Medusa,Terrorblade,Enigma,Batrider,Talon Esports vs Team Liquid,Riyadh Masters 2023 
17,Io,Leshrac,Lion,Timbersaw,Sven,Mars,Keeper of the Light,Elder Titan,Terrorblade,Storm Spirit,Tidehunter,Beastmaster,Undying,Enigma,Silencer,Snapfire,Batrider,Naga Siren,Slark,Faceless Void,Legion Commander,Monkey King,Clockwerk,Dark Seer,Talon Esports vs Team Liquid,Riyadh Masters 2023 
18,Tiny,Dark Seer,Elder Titan,Morphling,Ember Spirit,Pangolier,Broodmother,Oracle,Faceless Void,Rubick,Leshrac,Timbersaw,Undying,Visage,Enchantress,Clockwerk,Snapfire,Primal Beast,Puck,Templar Assassin,Medusa,Naga Siren,Storm Spirit,Batrider,Talon Esports vs Team Liquid,Riyadh Masters 2023 
19,Ember Spirit,Ancient Apparition,Beastmaster,Keeper of the Light,Bristleback,Clinkz,Templar Assassin,Rubick,Broodmother,Lion,Bloodseeker,Puck,Faceless Void,Terrorblade,Medusa,Storm Spirit,Io,Troll Warlord,Slark,Dark Seer,Mars,Naga Siren,Snapfire,Timbersaw,Team Spirit vs Team Aster,Riyadh Masters 2023 
20,Ember Spirit,Rubick,Slark,Io,Doom,Leshrac,Naga Siren,Enchantress,Dark Seer,Lion,Earthshaker,Pangolier,Ancient Apparition,Faceless Void,Dragon Knight,Storm Spirit,Timbersaw,Pudge,Beastmaster,Bloodseeker,Legion Commander,Mars,Medusa,Snapfire,Team Spirit vs Team Aster,Riyadh Masters 2023 
21,Keeper of the Light,Storm Spirit,Oracle,Monkey King,Dragon Knight,Night Stalker,Timbersaw,Silencer,Windranger,Doom,Meepo,Enchantress,Enigma,Lycan,Juggernaut,Broodmother,Undying,Underlord,Tidehunter,Naga Siren,Bloodseeker,Shadow Demon,Legion Commander,Snapfire,BetBoom Team vs 9Pandas,Riyadh Masters 2023 
22,Enigma,Techies,Lycan,Dragon Knight,Shadow Fiend,Meepo,Elder Titan,Alchemist,Rubick,Doom,Ember Spirit,Windranger,Naga Siren,Timbersaw,Juggernaut,Broodmother,Undying,Necrophos,Storm Spirit,Terrorblade,Monkey King,Bloodseeker,Legion Commander,Snapfire,BetBoom Team vs 9Pandas,Riyadh Masters 2023 
23,Keeper of the Light,Storm Spirit,Oracle,Axe,Gyrocopter,Witch Doctor,Alchemist,Enigma,Windranger,Doom,Elder Titan,Chen,Lycan,Silencer,Juggernaut,Undying,Broodmother,Naga Siren,Terrorblade,Bloodseeker,Monkey King,Shadow Demon,Legion Commander,Snapfire,BetBoom Team vs 9Pandas,Riyadh Masters 2023 
24,Lion,Dark Seer,Clockwerk,Drow Ranger,Windranger,Primal Beast,Lycan,Morphling,Techies,Undying,Templar Assassin,Tiny,Faceless Void,Bloodseeker,Legion Commander,Storm Spirit,Broodmother,Puck,Ember Spirit,Ancient Apparition,Pangolier,Enchantress,Snapfire,Timbersaw,Team Spirit vs BetBoom Team,Riyadh Masters 2023 
25,Keeper of the Light,Tiny,Tidehunter,Batrider,Sven,Razor,Mars,Mirana,Silencer,Storm Spirit,Faceless Void,Slark,Bloodseeker,Monkey King,Terrorblade,Dark Seer,Timbersaw,Juggernaut,Naga Siren,Broodmother,Disruptor,Legion Commander,Undying,Snapfire,Team Spirit vs BetBoom Team,Riyadh Masters 2023 
26,Undying,Terrorblade,Techies,Axe,Ember Spirit,Pangolier,Faceless Void,Enchantress,Beastmaster,Lion,Puck,Storm Spirit,Naga Siren,Monkey King,Drow Ranger,Dark Seer,Timbersaw,Tiny,Templar Assassin,Doom,Legion Commander,Tidehunter,Keeper of the Light,Snapfire,Team Spirit vs BetBoom Team,Riyadh Masters 2023 
27,Undying,Medusa,Techies,Mars,Dragon Knight,Batrider,Naga Siren,Disruptor,Beastmaster,Lion,Queen of Pain,Windranger,Pangolier,Faceless Void,Anti-Mage,Dark Seer,Storm Spirit,Leshrac,Ember Spirit,Underlord,Timbersaw,Rubick,Razor,Snapfire,Team Liquid vs Team Spirit,Riyadh Masters 2023 
28,Lion,Beastmaster,Enchantress,Slark,Puck,Leshrac,Techies,Broodmother,Monkey King,Undying,Templar Assassin,Pangolier,Visage,Legion Commander,Mars,Medusa,Snapfire,Windranger,Ember Spirit,Faceless Void,Naga Siren,Terrorblade,Dark Seer,Storm Spirit,Team Liquid vs Team Spirit,Riyadh Masters 2023 
29,Snapfire,Morphling,Dragon Knight,Skywrath Mage,Shadow Demon,Lycan,Windranger,Techies,Enchantress,Faceless Void,Tidehunter,Visage,Pangolier,Lion,Storm Spirit,Dark Seer,Beastmaster,Elder Titan,Templar Assassin,Doom,Legion Commander,Mars,Medusa,Undying,Team Liquid vs Team Spirit,Riyadh Masters 2023 
30,Rubick,Primal Beast,Juggernaut,Silencer,Snapfire,Spectre,Leshrac,Shadow Demon,Mars,Undying,Luna,Drow Ranger,Morphling,Ember Spirit,Storm Spirit,Enigma,Timbersaw,Beastmaster,Pangolier,Broodmother,Faceless Void,Phoenix,Naga Siren,Dark Seer,Quest Esports vs PSG.LGD,Riyadh Masters 2023 
31,Snapfire,Faceless Void,Silencer,Beastmaster,Weaver,Tidehunter,Templar Assassin,Phoenix,Mirana,Primal Beast,Puck,Storm Spirit,Lycan,Broodmother,Naga Siren,Shadow Demon,Rubick,Ember Spirit,Batrider,Mars,Elder Titan,Skywrath Mage,Enigma,Timbersaw,Quest Esports vs PSG.LGD,Riyadh Masters 2023 
32,Timbersaw,Mirana,Rubick,Underlord,Morphling,Ursa,Techies,Beastmaster,Pangolier,Enchantress,Sven,Slark,Dark Seer,Batrider,Doom,Snapfire,Enigma,Faceless Void,Monkey King,Ember Spirit,Templar Assassin,Bloodseeker,Broodmother,Io,Gaimin Gladiators vs Tundra Esports,Riyadh Masters 2023 
33,Rubick,Pangolier,Faceless Void,Ancient Apparition,Visage,Drow Ranger,Undying,Beastmaster,Lion,Timbersaw,Terrorblade,Naga Siren,Ember Spirit,Templar Assassin,Bloodseeker,Broodmother,Io,Lycan,Tidehunter,Batrider,Dark Seer,Doom,Enchantress,Enigma,Gaimin Gladiators vs Tundra Esports,Riyadh Masters 2023 
34,Pangolier,Snapfire,Disruptor,Dark Seer,Medusa,Batrider,Spirit Breaker,Ancient Apparition,Queen of Pain,Broodmother,Juggernaut,Sven,Rubick,Faceless Void,Enchantress,Bloodseeker,Enigma,Templar Assassin,Monkey King,Terrorblade,Meepo,Naga Siren,Underlord,Io,Gaimin Gladiators vs Tundra Esports,Riyadh Masters 2023 
35,Rubick,Underlord,Juggernaut,Disruptor,Windranger,Queen of Pain,Terrorblade,Phoenix,Mirana,Mars,Puck,Tiny,Shadow Demon,Templar Assassin,Undying,Snapfire,Primal Beast,Storm Spirit,Pangolier,Lifestealer,Naga Siren,Ember Spirit,Broodmother,Io,Quest Esports vs Gaimin Gladiators,Riyadh Masters 2023 
36,Snapfire,Phoenix,Lion,Faceless Void,Enigma,Medusa,Doom,Undying,Storm Spirit,Keeper of the Light,Drow Ranger,Morphling,Beastmaster,Underlord,Lifestealer,Broodmother,Io,Lycan,Dark Seer,Naga Siren,Tidehunter,Mars,Rubick,Primal Beast,Quest Esports vs Gaimin Gladiators,Riyadh Masters 2023 
37,Undying,Terrorblade,Techies,Axe,Puck,Monkey King,Pangolier,Rubick,Doom,Snapfire,Medusa,Faceless Void,Naga Siren,Bloodseeker,Enchantress,Timbersaw,Io,Templar Assassin,Ember Spirit,Lycan,Legion Commander,Primal Beast,Broodmother,Keeper of the Light,BetBoom Team vs Gaimin Gladiators,Riyadh Masters 2023 
38,Undying,Underlord,Medusa,Disruptor,Pangolier,Primal Beast,Morphling,Elder Titan,Tidehunter,Techies,Queen of Pain,Ember Spirit,Juggernaut,Rubick,Monkey King,Snapfire,Keeper of the Light,Timbersaw,Windranger,Lion,Terrorblade,Templar Assassin,Broodmother,Io,BetBoom Team vs Gaimin Gladiators,Riyadh Masters 2023 
39,Tidehunter,Techies,Batrider,Juggernaut,Storm Spirit,Leshrac,Disruptor,Dark Seer,Medusa,Undying,Windranger,Pangolier,Doom,Timbersaw,Underlord,Broodmother,Io,Puck,Ember Spirit,Monkey King,Faceless Void,Anti-Mage,Snapfire,Keeper of the Light,BetBoom Team vs Gaimin Gladiators,Riyadh Masters 2023 
40,Snapfire,Bloodseeker,Enigma,Primal Beast,Ancient Apparition,Windranger,Monkey King,Shadow Demon,Dark Seer,Lion,Puck,Ember Spirit,Clockwerk,Medusa,Faceless Void,Io,Storm Spirit,Phoenix,Venomancer,Batrider,Undying,Enchantress,Timbersaw,Legion Commander,Team Aster vs Evil Geniuses,Riyadh Masters 2023 
41,Snapfire,Medusa,Batrider,Dark Seer,Ember Spirit,Lycan,Juggernaut,Windranger,Clockwerk,Enigma,Elder Titan,Enchantress,Morphling,Faceless Void,Anti-Mage,Timbersaw,Legion Commander,Lion,Shadow Demon,Broodmother,Mars,Rubick,Io,Storm Spirit,Team Aster vs Evil Geniuses,Riyadh Masters 2023 
42,Batrider,Templar Assassin,Legion Commander,Shadow Shaman,Terrorblade,Alchemist,Skywrath Mage,Lycan,Storm Spirit,Undying,Luna,Slark,Morphling,Drow Ranger,Medusa,Doom,Broodmother,Meepo,Enchantress,Naga Siren,Bloodseeker,Dark Seer,Enigma,Monkey King,9Pandas vs Team Secret,Riyadh Masters 2023 
43,Storm Spirit,Skywrath Mage,Elder Titan,Timbersaw,Terrorblade,Ursa,Chen,Clockwerk,Templar Assassin,Batrider,Puck,Razor,Enchantress,Bloodseeker,Dark Seer,Enigma,Monkey King,Alchemist,Naga Siren,Slark,Beastmaster,Lycan,Undying,Broodmother,9Pandas vs Team Secret,Riyadh Masters 2023 
44,Lion,Dark Seer,Elder Titan,Medusa,Puck,Invoker,Sven,Rubick,Lycan,Undying,Pangolier,Windranger,Bloodseeker,Juggernaut,Alchemist,Doom,Broodmother,Templar Assassin,Ember Spirit,Io,Monkey King,Naga Siren,Storm Spirit,Snapfire,Team Aster vs 9Pandas,Riyadh Masters 2023 
45,Elder Titan,Windranger,Batrider,Bloodseeker,Timbersaw,Doom,Meepo,Oracle,Lycan,Rubick,Enigma,Faceless Void,Shadow Demon,Juggernaut,Alchemist,Undying,Broodmother,Underlord,Tidehunter,Monkey King,Medusa,Naga Siren,Storm Spirit,Snapfire,Team Aster vs 9Pandas,Riyadh Masters 2023 
46,Rubick,Monkey King,Phoenix,Ember Spirit,Mars,Morphling,Tinker,Elder Titan,Doom,Enigma,Faceless Void,Juggernaut,Alchemist,Silencer,Terrorblade,Undying,Broodmother,Legion Commander,Beastmaster,Timbersaw,Dark Seer,Keeper of the Light,Storm Spirit,Snapfire,Team Aster vs 9Pandas,Riyadh Masters 2023 
47,Batrider,Windranger,Rubick,Medusa,Legion Commander,Invoker,Bloodseeker,Oracle,Doom,Enigma,Pangolier,Tinker,Lycan,Shadow Demon,Alchemist,Undying,Broodmother,Timbersaw,Tidehunter,Naga Siren,Elder Titan,Silencer,Snapfire,Storm Spirit,Talon Esports vs 9Pandas,Riyadh Masters 2023 
48,Skywrath Mage,Doom,Enchantress,Ember Spirit,Juggernaut,Dark Seer,Silencer,Clockwerk,Medusa,Storm Spirit,Visage,Timbersaw,Legion Commander,Tiny,Keeper of the Light,Snapfire,Batrider,Morphling,Naga Siren,Elder Titan,Tinker,Anti-Mage,Undying,Broodmother,Talon Esports vs 9Pandas,Riyadh Masters 2023 
49,Io,Leshrac,Disruptor,Tidehunter,Bloodseeker,Razor,Ember Spirit,Keeper of the Light,Terrorblade,Undying,Beastmaster,Legion Commander,Enigma,Windranger,Mars,Medusa,Batrider,Slark,Faceless Void,Naga Siren,Underlord,Dark Seer,Storm Spirit,Broodmother,Gaimin Gladiators vs Talon Esports,Riyadh Masters 2023 
50,Io,Leshrac,Shadow Demon,Beastmaster,Bristleback,Silencer,Lycan,Puck,Terrorblade,Rubick,Enchantress,Keeper of the Light,Ember Spirit,Elder Titan,Mars,Undying,Batrider,Slark,Bloodseeker,Medusa,Naga Siren,Dark Seer,Storm Spirit,Broodmother,Gaimin Gladiators vs Talon Esports,Riyadh Masters 2023 
51,Rubick,Underlord,Keeper of the Light,Storm Spirit,Morphling,Elder Titan,Dark Seer,Clockwerk,Monkey King,Snapfire,Ember Spirit,Puck,Tiny,Enchantress,Disruptor,Undying,Batrider,Sven,Bloodseeker,Faceless Void,Slark,Windranger,Io,Broodmother,Gaimin Gladiators vs Talon Esports,Riyadh Masters 2023 
52,Medusa,Elder Titan,Pangolier,Lion,Beastmaster,Monkey King,Shadow Demon,Windranger,Anti-Mage,Undying,Tidehunter,Underlord,Ember Spirit,Mars,Batrider,Dark Seer,Snapfire,Visage,Enigma,Lycan,Broodmother,Legion Commander,Storm Spirit,Clockwerk,Team Liquid vs Talon Esports,Riyadh Masters 2023 
53,Dark Seer,Lion,Enchantress,Lone Druid,Drow Ranger,Io,Legion Commander,Skywrath Mage,Faceless Void,Storm Spirit,Silencer,Ancient Apparition,Clockwerk,Elder Titan,Keeper of the Light,Batrider,Snapfire,Razor,Lycan,Monkey King,Undying,Templar Assassin,Beastmaster,Medusa,Team Liquid vs Talon Esports,Riyadh Masters 2023 
54,Enchantress,Faceless Void,Timbersaw,Puck,Ancient Apparition,Templar Assassin,Leshrac,Io,Naga Siren,Snapfire,Tiny,Enigma,Legion Commander,Mars,Doom,Undying,Medusa,Disruptor,Techies,Lion,Windranger,Ember Spirit,Dark Seer,Beastmaster,Team Spirit vs Team Liquid,Riyadh Masters 2023 
55,Snapfire,Naga Siren,Rubick,Monkey King,Mirana,Batrider,Timbersaw,Techies,Faceless Void,Enchantress,Puck,Pangolier,Ember Spirit,Windranger,Lion,Dark Seer,Beastmaster,Storm Spirit,Meepo,Templar Assassin,Io,Doom,Undying,Medusa,Team Spirit vs Team Liquid,Riyadh Masters 2023 
56,Dark Seer,Ancient Apparition,Windranger,Tusk,Troll Warlord,Visage,Bloodseeker,Tiny,Leshrac,Io,Beastmaster,Enigma,Sven,Mars,Templar Assassin,Medusa,Undying,Monkey King,Juggernaut,Terrorblade,Ember Spirit,Faceless Void,Enchantress,Snapfire,Team Spirit vs Team Liquid,Riyadh Masters 2023 
57,Broodmother,Clockwerk,Lich,Drow Ranger,Ember Spirit,Shadow Demon,Terrorblade,Snapfire,Beastmaster,Enchantress,Batrider,Mirana,Storm Spirit,Windranger,Slark,Naga Siren,Dark Seer,Pangolier,Puck,Faceless Void,Crystal Maiden,Templar Assassin,Medusa,Undying,Team Spirit vs Team Liquid,Riyadh Masters 2023 
58,Pangolier,Phoenix,Dragon Knight,Rubick,Troll Warlord,Spirit Breaker,Dark Seer,Marci,Primal Beast,Gyrocopter,Monkey King,Keeper of the Light,Grimstroke,Weaver,Enigma,Tiny,Witch Doctor,Windranger,Ursa,Morphling,Sven,Templar Assassin,Shadow Fiend,Hoodwink,Virtus.pro vs MOUZ,Riyadh Masters 2024 
59,Primal Beast,Phoenix,Sven,Invoker,Dark Willow,Puck,Underlord,Snapfire,Rubick,Monkey King,Void Spirit,Dragon Knight,Dark Seer,Beastmaster,Templar Assassin,Shadow Fiend,Hoodwink,Faceless Void,Ursa,Windranger,Gyrocopter,Enigma,Witch Doctor,Tiny,Virtus.pro vs MOUZ,Riyadh Masters 2024 
60,Shadow Fiend,Hoodwink,Elder Titan,Templar Assassin,Underlord,Lifestealer,Shadow Demon,Mars,Keeper of the Light,Spirit Breaker,Ursa,Troll Warlord,Snapfire,Windranger,Tiny,Weaver,Beastmaster,Centaur Warrunner,Pangolier,Clockwerk,Dark Seer,Monkey King,Phoenix,Enigma,nouns vs LGD Gaming,Riyadh Masters 2024 
61,Weaver,Shadow Demon,Mars,Ember Spirit,Troll Warlord,Pudge,Templar Assassin,Pangolier,Sven,Hoodwink,Tinker,Huskar,Meepo,Chaos Knight,Rubick,Enigma,Phoenix,Morphling,Terrorblade,Dark Seer,Shadow Fiend,Monkey King,Beastmaster,Tiny,nouns vs LGD Gaming,Riyadh Masters 2024 
62,Phoenix,Primal Beast,Sven,Jakiro,Storm Spirit,Crystal Maiden,Legion Commander,Weaver,Snapfire,Sand King,Enchantress,Oracle,Timbersaw,Dark Seer,Slark,Tiny,Chen,Enigma,Viper,Slardar,Rubick,Nyx Assassin,Elder Titan,Shadow Fiend,Team Falcons vs WBG.XG,Riyadh Masters 2024 
63,Phoenix,Beastmaster,Lion,Morphling,Slardar,Monkey King,Enchantress,Mars,Weaver,Hoodwink,Huskar,Puck,Primal Beast,Pangolier,Snapfire,Tiny,Chen,Vengeful Spirit,Storm Spirit,Rubick,Nyx Assassin,Sand King,Elder Titan,Shadow Fiend,Team Falcons vs WBG.XG,Riyadh Masters 2024 
64,Phoenix,Rubick,Centaur Warrunner,Terrorblade,Vengeful Spirit,Timbersaw,Sven,Enchantress,Jakiro,Pangolier,Slark,Dark Seer,Weaver,Hoodwink,Snapfire,Tiny,Chen,Slardar,Primal Beast,Bloodseeker,Beastmaster,Sand King,Elder Titan,Shadow Fiend,Team Falcons vs WBG.XG,Riyadh Masters 2024 
65,Dark Seer,Sven,Snapfire,Spirit Breaker,Morphling,Chaos Knight,Pangolier,Broodmother,Weaver,Jakiro,Doom,Ursa,Underlord,Invoker,Brewmaster,Chen,Enchantress,Terrorblade,Troll Warlord,Faceless Void,Alchemist,Enigma,Monkey King,Sand King,Entity vs Gaimin Gladiators,Riyadh Masters 2024 
66,Crystal Maiden,Snapfire,Phoenix,Faceless Void,Terrorblade,Beastmaster,Puck,Jakiro,Chaos Knight,Weaver,Doom,Broodmother,Invoker,Brewmaster,Underlord,Enchantress,Chen,Nyx Assassin,Pangolier,Dark Seer,Alchemist,Monkey King,Enigma,Sand King,Entity vs Gaimin Gladiators,Riyadh Masters 2024 
67,Chen,Rubick,Underlord,Templar Assassin,Windranger,Tidehunter,Ursa,Enchantress,Tiny,Weaver,Dark Seer,Slardar,Primal Beast,Timbersaw,Pangolier,Doom,Sand King,Slark,Chaos Knight,Monkey King,Invoker,Nyx Assassin,Broodmother,Shadow Fiend,Team Falcons vs Gaimin Gladiators,Riyadh Masters 2024 
68,Hoodwink,Brewmaster,Chen,Chaos Knight,Void Spirit,Tidehunter,Windranger,Gyrocopter,Enchantress,Tiny,Slardar,Underlord,Timbersaw,Sven,Pangolier,Sand King,Doom,Ember Spirit,Dazzle,Invoker,Monkey King,Weaver,Broodmother,Shadow Fiend,Team Falcons vs Gaimin Gladiators,Riyadh Masters 2024 
69,Brewmaster,Chen,Snapfire,Ember Spirit,Chaos Knight,Huskar,Jakiro,Primal Beast,Hoodwink,Sven,Slark,Underlord,Timbersaw,Slardar,Pangolier,Sand King,Doom,Alchemist,Ursa,Invoker,Broodmother,Weaver,Monkey King,Shadow Fiend,Team Falcons vs Gaimin Gladiators,Riyadh Masters 2024 
70,Sand King,Chen,Rubick,Phantom Assassin,Magnus,Tiny,Sven,Razor,Morphling,Beastmaster,Ember Spirit,Puck,Nyx Assassin,Jakiro,Shadow Fiend,Templar Assassin,Doom,Primal Beast,Brewmaster,Enchantress,Hoodwink,Monkey King,Elder Titan,Snapfire,Team Spirit vs Team Liquid,Riyadh Masters 2024 
71,Tiny,Dark Seer,Spirit Breaker,Jakiro,Templar Assassin,Underlord,Shadow Demon,Rubick,Sven,Sand King,Mars,Primal Beast,Troll Warlord,Beastmaster,Monkey King,Elder Titan,Snapfire,Razor,Ursa,Nyx Assassin,Morphling,Shadow Fiend,Brewmaster,Doom,Team Spirit vs Team Liquid,Riyadh Masters 2024 
72,Nyx Assassin,Phoenix,Pangolier,Doom,Weaver,Beastmaster,Broodmother,Marci,Jakiro,Sand King,Centaur Warrunner,Dark Seer,Enigma,Mars,Snapfire,Monkey King,Rubick,Troll Warlord,Faceless Void,Ember Spirit,Morphling,Invoker,Shadow Fiend,Hoodwink,Tundra Esports vs OG,Riyadh Masters 2024 
73,Snapfire,Nyx Assassin,Chen,Mars,Broodmother,Chaos Knight,Brewmaster,Clockwerk,Templar Assassin,Monkey King,Faceless Void,Pangolier,Venomancer,Invoker,Beastmaster,Shadow Fiend,Hoodwink,Sven,Dragon Knight,Jakiro,Phoenix,Batrider,Sand King,Rubick,Tundra Esports vs OG,Riyadh Masters 2024 
74,Doom,Sven,Io,Leshrac,Windranger,Terrorblade,Mars,Phoenix,Rubick,Sand King,Ursa,Anti-Mage,Broodmother,Morphling,Nyx Assassin,Monkey King,Snapfire,Ember Spirit,Marci,Razor,Hoodwink,Tiny,Templar Assassin,Beastmaster,Team Liquid vs Tundra Esports,Riyadh Masters 2024 
75,Sand King,Enigma,Spirit Breaker,Chaos Knight,Rubick,Dawnbreaker,Visage,Razor,Jakiro,Tiny,Ember Spirit,Leshrac,Sven,Dark Seer,Doom,Templar Assassin,Beastmaster,Phoenix,Chen,Broodmother,Morphling,Nyx Assassin,Monkey King,Snapfire,Team Liquid vs Tundra Esports,Riyadh Masters 2024 
76,Sven,Tiny,Gyrocopter,Hoodwink,Pangolier,Rubick,Chaos Knight,Spirit Breaker,Enigma,Sand King,Phoenix,Chen,Broodmother,Snapfire,Monkey King,Nyx Assassin,Morphling,Tidehunter,Brewmaster,Leshrac,Dark Seer,Doom,Templar Assassin,Beastmaster,Team Liquid vs Tundra Esports,Riyadh Masters 2024 
